,date,firm,Ticker,Research Development,Income Before Tax,netIncome,Selling General Administrative,netProfitMargin,Ebit,Operating Income,Interest Expense,Income Tax Expense,revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Net Income From Continuing Ops,Net Income Applicable To Common Shares
0,2021-09-30,3M,MMM,482000000,1761000000,1434000000,1739000000,4089000000,1868000000,1868000000,-117000000,324000000,8942000000,7074000000,4853000000,-107000000,1437000000,1434000000
1,2021-06-30,3M,MMM,514000000,1940000000,1524000000,1666000000,4231000000,2051000000,2051000000,-121000000,415000000,8950000000,6899000000,4719000000,-111000000,1525000000,1524000000
2,2021-03-31,3M,MMM,520000000,1946000000,1624000000,1720000000,4327000000,2087000000,2087000000,-132000000,319000000,8851000000,6764000000,4524000000,-141000000,1627000000,1624000000
3,2020-12-31,3M,MMM,449000000,1706000000,1389000000,1814000000,4246000000,1983000000,1983000000,-141000000,316000000,8583000000,6600000000,4337000000,-277000000,1390000000,1389000000
4,2021-09-30,3M,MMM,482000000,1761000000,1434000000,1739000000,4089000000,1868000000,1868000000,-117000000,324000000,8942000000,7074000000,4853000000,-107000000,1437000000,1434000000
5,2021-06-30,3M,MMM,514000000,1940000000,1524000000,1666000000,4231000000,2051000000,2051000000,-121000000,415000000,8950000000,6899000000,4719000000,-111000000,1525000000,1524000000
6,2021-03-31,3M,MMM,520000000,1946000000,1624000000,1720000000,4327000000,2087000000,2087000000,-132000000,319000000,8851000000,6764000000,4524000000,-141000000,1627000000,1624000000
7,2020-12-31,3M,MMM,449000000,1706000000,1389000000,1814000000,4246000000,1983000000,1983000000,-141000000,316000000,8583000000,6600000000,4337000000,-277000000,1390000000,1389000000
8,2021-09-30,A. O. Smith,AOS,,166400000,131600000,174300000,340300000,166000000,166000000,-1000000,34800000,914600000,748600000,574300000,400000,131600000,131600000
9,2021-06-30,A. O. Smith,AOS,,151300000,118200000,169800000,321400000,151600000,151600000,-900000,33100000,859800000,708200000,538400000,-300000,118200000,118200000
10,2021-03-31,A. O. Smith,AOS,,126100000,97700000,166500000,288600000,122100000,122100000,-1000000,28400000,769000000,646900000,480400000,4000000,97700000,97700000
11,2020-12-31,A. O. Smith,AOS,,151900000,120000000,184700000,324100000,139400000,139400000,-1000000,31900000,834500000,695100000,510400000,12500000,120000000,120000000
12,2021-09-30,Abbott Laboratories,ABT,672000000,2493000000,2100000000,2699000000,6505000000,2614000000,2614000000,-133000000,393000000,10928000000,8314000000,4423000000,-121000000,2100000000,2092000000
13,2021-06-30,Abbott Laboratories,ABT,654000000,1348000000,1189000000,2658000000,5786000000,1970000000,1970000000,-134000000,159000000,10223000000,8253000000,4437000000,-622000000,1189000000,1184000000
14,2021-03-31,Abbott Laboratories,ABT,654000000,2043000000,1793000000,2716000000,6056000000,2177000000,2177000000,-135000000,250000000,10456000000,8279000000,4400000000,-134000000,1793000000,1785000000
15,2020-12-31,Abbott Laboratories,ABT,643000000,2388000000,2162000000,2525000000,6207000000,2531000000,2531000000,-136000000,230000000,10701000000,8170000000,4494000000,-143000000,2158000000,2151000000
16,2021-09-30,AbbVie,ABBV,1655000000,3688000000,3179000000,2946000000,9998000000,4897000000,4897000000,-596000000,508000000,14342000000,9445000000,4344000000,-1209000000,3180000000,3158000000
17,2021-06-30,AbbVie,ABBV,1784000000,1163000000,766000000,3049000000,9461000000,4696000000,4696000000,-615000000,394000000,13959000000,9263000000,4498000000,-3533000000,769000000,751000000
18,2021-03-31,AbbVie,ABBV,1731000000,3867000000,3553000000,2741000000,8818000000,4346000000,4346000000,-632000000,312000000,13010000000,8664000000,4192000000,-479000000,3555000000,3536000000
19,2020-12-31,AbbVie,ABBV,1821000000,-1507000000,36000000,3099000000,10448000000,5528000000,5528000000,-629000000,-1545000000,13858000000,8330000000,3410000000,-7035000000,38000000,20000000
20,2021-09-30,Abiomed,ABMD,41041000,67271000,56953000,102779000,204256000,60436000,60436000,,10318000,248142000,187706000,43886000,6835000,56953000,56953000
21,2021-06-30,Abiomed,ABMD,36837000,-9350000,-26525000,103484000,207397000,67076000,67076000,,17175000,252585000,185509000,45188000,-76426000,-26525000,-26525000
22,2021-03-31,Abiomed,ABMD,32599000,73494000,56856000,100374000,195167000,62194000,62194000,,16638000,241245000,179051000,46078000,11300000,56856000,56856000
23,2020-12-31,Abiomed,ABMD,32105000,80735000,61868000,86198000,190553000,72250000,72250000,,18867000,231663000,159413000,41110000,8485000,61868000,61868000
24,2021-08-31,Accenture,ACN,,1917805000,1416248000,2507527000,4466216000,1958689000,1958689000,-12977000,480382000,13419284000,11460595000,8953068000,-40884000,1437423000,1416248000
25,2021-05-31,Accenture,ACN,,2094001000,1549426000,2285728000,4404384000,2118656000,2118656000,-28739000,524429000,13263795000,11145139000,8859411000,-24655000,1569572000,1549426000
26,2021-02-28,Accenture,ACN,,1762443000,1440859000,1941717000,3595232000,1653515000,1653515000,-8922000,300950000,12088125000,10434610000,8492893000,108928000,1461493000,1440859000
